model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
roberta,sum,fb237_v1_ind_seed7001,50,1.0,16,7001,0.658,0.5935,0.9409,0.7649,0.7454,0.5935,0.8832,0.9579,68.7,Reach max iteration 50 | best_iter=33
roberta,sum,fb237_v1_ind_seed7005,50,1.0,16,7005,0.662,0.6095,0.9414,0.7798,0.7474,0.6095,0.8762,0.9429,67.9,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v1_ind_seed7009,50,1.0,16,7009,0.6142,0.6522,0.941,0.7649,0.7644,0.6522,0.8502,0.9372,68.2,Reach max iteration 50 | best_iter=45
roberta,sum,fb237_v1_ind_seed7001,50,1.0,32,7001,0.6528,0.6075,0.9409,0.7683,0.7529,0.6075,0.8832,0.9439,68.9,Reach max iteration 50 | best_iter=35
roberta,sum,fb237_v1_ind_seed7005,50,1.0,32,7005,0.662,0.6,0.9414,0.7714,0.7381,0.6,0.8762,0.9286,69.3,Reach max iteration 50 | best_iter=42
roberta,sum,fb237_v1_ind_seed7009,50,1.0,32,7009,0.6345,0.6377,0.941,0.7731,0.7615,0.6377,0.8744,0.9517,68.3,Reach max iteration 50 | best_iter=36
roberta,sum,fb237_v1_ind_seed7001,50,1.0,48,7001,0.6321,0.6121,0.9409,0.7586,0.7578,0.6121,0.8925,0.9579,67.7,Reach max iteration 50 | best_iter=48
roberta,sum,fb237_v1_ind_seed7005,50,1.0,48,7005,0.6338,0.6048,0.9414,0.7649,0.7477,0.6048,0.8857,0.9381,68.7,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v1_ind_seed7009,50,1.0,48,7009,0.6396,0.6184,0.941,0.7751,0.7567,0.6184,0.8792,0.9614,67.9,Reach max iteration 50 | best_iter=38
roberta,sum,fb237_v1_ind_seed7001,50,1.0,64,7001,0.6425,0.6168,0.9409,0.7628,0.7582,0.6168,0.8785,0.9579,67.7,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v1_ind_seed7005,50,1.0,64,7005,0.6432,0.6143,0.9414,0.7681,0.7523,0.6143,0.8762,0.9619,67.9,Reach max iteration 50 | best_iter=43
roberta,sum,fb237_v1_ind_seed7009,50,1.0,64,7009,0.6345,0.6473,0.941,0.7731,0.7643,0.6473,0.8647,0.942,67.3,Reach max iteration 50 | best_iter=32
roberta,sum,fb237_v1_ind_seed7001,50,1.0,80,7001,0.6839,0.6215,0.9409,0.7937,0.7634,0.6215,0.8925,0.9626,67.9,Reach max iteration 50 | best_iter=41
roberta,sum,fb237_v1_ind_seed7005,50,1.0,80,7005,0.6526,0.5952,0.9414,0.7743,0.7407,0.5952,0.8762,0.9381,68.6,Reach max iteration 50 | best_iter=33
roberta,sum,fb237_v1_ind_seed7009,50,1.0,80,7009,0.6345,0.6425,0.941,0.7711,0.7629,0.6425,0.8696,0.9469,67.4,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v1_ind_seed7001,50,1.0,96,7001,0.658,0.6075,0.9409,0.774,0.7436,0.6075,0.8551,0.9439,67.1,Reach max iteration 50 | best_iter=27
roberta,sum,fb237_v1_ind_seed7005,50,1.0,96,7005,0.6573,0.5905,0.9414,0.7749,0.7335,0.5905,0.8619,0.9381,68.4,Reach max iteration 50 | best_iter=47
roberta,sum,fb237_v1_ind_seed7009,50,1.0,96,7009,0.6193,0.6715,0.941,0.7652,0.7799,0.6715,0.8502,0.9662,68.3,Reach max iteration 50 | best_iter=43
roberta,sum,fb237_v1_ind_seed7001,50,5.0,16,7001,0.6477,0.6028,0.9409,0.7638,0.7492,0.6028,0.8738,0.9533,68.1,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v1_ind_seed7005,50,5.0,16,7005,0.6526,0.6,0.9414,0.7817,0.7517,0.6,0.8905,0.9571,65.5,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v1_ind_seed7009,50,5.0,16,7009,0.6396,0.6715,0.941,0.7783,0.7817,0.6715,0.8744,0.9517,67.8,Reach max iteration 50 | best_iter=29
roberta,sum,fb237_v1_ind_seed7001,50,5.0,32,7001,0.6528,0.6215,0.9409,0.7725,0.7569,0.6215,0.8738,0.9486,68.0,Reach max iteration 50 | best_iter=35
roberta,sum,fb237_v1_ind_seed7005,50,5.0,32,7005,0.6761,0.6095,0.9414,0.7917,0.7546,0.6095,0.8857,0.9667,68.1,Reach max iteration 50 | best_iter=29
