model,aggregation,version,k,lambda,bias,n_seeds,valid_mrr_mean,valid_mrr_std,test_mrr_mean,test_mrr_std,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,hits_1_mean,hits_1_std,hits_3_mean,hits_3_std,hits_10_mean,hits_10_std,train_acc_mean,train_time_mean
roberta,sum,fb237_v2_ind,175,100,96,3,0.805567,0.021234,0.7989,0.019458,0.681933,0.039109,0.674033,0.026046,0.674033,0.026046,0.906867,0.020996,0.985033,0.005823,0.824267,389.433333
roberta,sum,fb237_v2_ind,125,100,96,3,0.800867,0.017896,0.796767,0.018446,0.671967,0.033603,0.666233,0.02185,0.666233,0.02185,0.914667,0.025272,0.978633,0.007651,0.8437,288.6
roberta,sum,fb237_v2_ind,200,100,48,3,0.8025,0.01634,0.796633,0.020935,0.675567,0.028703,0.669067,0.027355,0.669067,0.027355,0.912567,0.019466,0.976567,0.004409,0.836233,436.533333
roberta,sum,fb237_v2_ind,100,100,80,3,0.8039,0.019812,0.796367,0.016732,0.6783,0.039124,0.668433,0.019706,0.668433,0.019706,0.9076,0.020793,0.980133,0.004508,0.8296,235.4
roberta,sum,fb237_v2_ind,200,100,80,3,0.806433,0.021084,0.7963,0.018305,0.683367,0.036083,0.669067,0.024185,0.669067,0.024185,0.9083,0.023366,0.9794,0.005511,0.8362,429.266667
roberta,sum,fb237_v2_ind,75,100,64,3,0.800767,0.019387,0.796233,0.014648,0.6713,0.036367,0.671267,0.016447,0.671267,0.016447,0.906867,0.021408,0.975833,0.003547,0.830633,189.066667
roberta,sum,fb237_v2_ind,150,100,80,3,0.804667,0.019251,0.795967,0.015395,0.6813,0.036332,0.671233,0.018053,0.671233,0.018053,0.9019,0.0204,0.9779,0.010806,0.832867,338.533333
roberta,sum,fb237_v2_ind,150,100,96,3,0.802733,0.015678,0.7956,0.017805,0.674133,0.033104,0.6663,0.022704,0.6663,0.022704,0.912567,0.018032,0.980833,0.00196,0.839467,333.966667
roberta,sum,fb237_v2_ind,200,100,32,3,0.8047,0.009498,0.795533,0.019554,0.679833,0.019731,0.6676,0.027916,0.6676,0.027916,0.909,0.018479,0.977267,0.009755,0.8259,433.266667
roberta,sum,fb237_v2_ind,200,100,96,3,0.8032,0.018956,0.795233,0.015796,0.675533,0.029311,0.666367,0.017568,0.666367,0.017568,0.9083,0.023217,0.977233,0.010356,0.838167,430.933333
roberta,sum,fb237_v2_ind,100,100,48,3,0.8008,0.015384,0.795233,0.015297,0.673467,0.030775,0.667667,0.021571,0.667667,0.021571,0.906933,0.01121,0.977967,0.004496,0.830867,236.433333
roberta,sum,fb237_v2_ind,50,100,80,3,0.8002,0.019071,0.795233,0.022544,0.672,0.033856,0.668333,0.026934,0.668333,0.026934,0.9047,0.029451,0.978,0.006159,0.8301,139.3
roberta,sum,fb237_v2_ind,175,100,80,3,0.8037,0.016208,0.795033,0.016558,0.677033,0.028391,0.669833,0.020414,0.669833,0.020414,0.903333,0.018468,0.977967,0.001305,0.827333,380.033333
roberta,sum,fb237_v2_ind,100,100,64,3,0.805033,0.017928,0.7948,0.016868,0.683367,0.033551,0.6684,0.020146,0.6684,0.020146,0.903267,0.024678,0.976533,0.00245,0.8235,236.533333
roberta,sum,fb237_v2_ind,125,100,32,3,0.802,0.011887,0.794567,0.017275,0.6742,0.021211,0.666233,0.02185,0.666233,0.02185,0.909733,0.018369,0.9801,0.00148,0.8221,285.366667
roberta,sum,fb237_v2_ind,50,100,96,3,0.8017,0.018559,0.794333,0.016782,0.674167,0.034518,0.668433,0.017257,0.668433,0.017257,0.9047,0.025139,0.975833,0.007656,0.8409,138.966667
roberta,sum,fb237_v2_ind,125,100,80,3,0.8012,0.018874,0.794167,0.015672,0.671933,0.033714,0.667733,0.016023,0.667733,0.016023,0.9076,0.022663,0.975833,0.005577,0.844133,287.7
roberta,sum,fb237_v2_ind,100,100,32,3,0.8025,0.015258,0.7941,0.017895,0.676267,0.030492,0.667,0.019272,0.667,0.019272,0.907567,0.02635,0.980833,0.005677,0.828767,237.066667
roberta,sum,fb237_v2_ind,75,100,48,3,0.8016,0.019749,0.7941,0.014923,0.672667,0.03675,0.6663,0.018981,0.6663,0.018981,0.904067,0.019736,0.977267,0.005459,0.829767,189.8
roberta,sum,fb237_v2_ind,150,100,48,3,0.800867,0.019308,0.793833,0.018418,0.672667,0.035739,0.6684,0.020389,0.6684,0.020389,0.906133,0.026303,0.9808,0.0039,0.830867,337.533333
roberta,sum,fb237_v2_ind,100,100,96,3,0.7999,0.017683,0.793733,0.021767,0.672,0.029353,0.666267,0.026417,0.666267,0.026417,0.905433,0.022949,0.976533,0.007651,0.841,236.933333
roberta,sum,fb237_v2_ind,75,100,80,3,0.8003,0.017367,0.7936,0.016444,0.672733,0.029164,0.664167,0.02098,0.664167,0.02098,0.906167,0.022162,0.977233,0.006726,0.834167,192.066667
roberta,sum,fb237_v2_ind,50,100,64,3,0.801333,0.018663,0.792933,0.015032,0.672667,0.03675,0.662733,0.017837,0.662733,0.017837,0.9055,0.017281,0.978667,0.008705,0.833033,138.433333
roberta,sum,fb237_v2_ind,200,100,64,3,0.8016,0.021554,0.7928,0.015746,0.677,0.038433,0.664167,0.017073,0.664167,0.017073,0.907533,0.024725,0.9794,0.003503,0.821367,430
roberta,sum,fb237_v2_ind,150,100,64,3,0.800867,0.020458,0.792233,0.01981,0.674133,0.035948,0.662767,0.024125,0.662767,0.024125,0.906833,0.026117,0.975833,0.005577,0.836,337
roberta,sum,fb237_v2_ind,175,100,32,3,0.7987,0.01756,0.792233,0.015383,0.672733,0.031964,0.664867,0.018067,0.664867,0.018067,0.9012,0.021354,0.9801,0.006619,0.824867,382.733333
roberta,sum,fb237_v2_ind,50,100,32,3,0.800633,0.018205,0.791933,0.012505,0.672,0.032422,0.662067,0.013931,0.662067,0.013931,0.909733,0.015279,0.980133,0.004366,0.825967,138.9
roberta,sum,fb237_v2_ind,125,100,16,3,0.799633,0.016496,0.791933,0.013118,0.6735,0.030689,0.665633,0.014668,0.665633,0.014668,0.899067,0.021509,0.973,0.004757,0.812567,282.666667
roberta,sum,fb237_v2_ind,125,100,48,3,0.801067,0.011039,0.7918,0.017352,0.674167,0.022708,0.662,0.020488,0.662,0.020488,0.9083,0.023366,0.9766,0.00737,0.8368,285.566667
roberta,sum,fb237_v2_ind,75,100,96,3,0.801067,0.015709,0.7915,0.017632,0.674133,0.028285,0.662033,0.020902,0.662033,0.020902,0.9047,0.023805,0.976533,0.005897,0.835933,191.033333
roberta,sum,fb237_v2_ind,75,100,32,3,0.8001,0.016865,0.7913,0.014484,0.6763,0.030999,0.662767,0.015098,0.662767,0.015098,0.906133,0.023616,0.9758,0.006809,0.8184,190.6
roberta,sum,fb237_v2_ind,150,100,32,3,0.802433,0.019674,0.791033,0.016093,0.677033,0.033317,0.658467,0.017218,0.658467,0.017218,0.9083,0.021396,0.979367,0.008829,0.8246,338.833333
roberta,sum,fb237_v2_ind,175,100,64,3,0.802533,0.017997,0.790067,0.012914,0.677667,0.033681,0.659967,0.011666,0.659967,0.011666,0.904,0.022203,0.977267,0.002747,0.8254,384.433333
roberta,sum,fb237_v2_ind,125,100,64,3,0.802133,0.015927,0.789067,0.016887,0.675533,0.027212,0.6542,0.018729,0.6542,0.018729,0.909667,0.028951,0.976567,0.004409,0.837933,286.666667
roberta,sum,fb237_v2_ind,50,100,48,3,0.7979,0.02152,0.789067,0.02035,0.671333,0.037222,0.662,0.024661,0.662,0.024661,0.899733,0.025437,0.974467,0.00751,0.809133,139.666667
