model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
qwen,sum,fb237_v2_ind_seed7001,50,1.0,16,7001,0.5813,0.6247,0.9154,0.7316,0.7583,0.6247,0.8827,0.9467,149.7,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7005,50,1.0,16,7005,0.6232,0.5861,0.9128,0.7656,0.7379,0.5861,0.8655,0.9559,137.4,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7009,50,1.0,16,7009,0.5846,0.5603,0.9147,0.7337,0.7222,0.5603,0.8664,0.9418,137.2,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v2_ind_seed7001,50,1.0,32,7001,0.6161,0.6205,0.8522,0.7521,0.7524,0.6205,0.8742,0.9424,133.3,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7005,50,1.0,32,7005,0.6211,0.6029,0.9128,0.7574,0.7491,0.6029,0.8887,0.9496,136.6,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7009,50,1.0,32,7009,0.6231,0.6207,0.8599,0.755,0.7566,0.6207,0.8707,0.9397,133.9,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7001,50,1.0,48,7001,0.5965,0.6119,0.9154,0.7467,0.746,0.6119,0.855,0.951,136.9,Reach max iteration 50 | best_iter=20
qwen,sum,fb237_v2_ind_seed7005,50,1.0,48,7005,0.6211,0.6218,0.9128,0.7579,0.7586,0.6218,0.8761,0.958,137.6,Reach max iteration 50 | best_iter=31
qwen,sum,fb237_v2_ind_seed7009,50,1.0,48,7009,0.5974,0.556,0.9147,0.7431,0.7209,0.556,0.8685,0.9483,135.1,Reach max iteration 50 | best_iter=44
qwen,sum,fb237_v2_ind_seed7001,50,1.0,64,7001,0.6486,0.6247,0.8388,0.7755,0.7648,0.6247,0.8827,0.9659,132.4,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7005,50,1.0,64,7005,0.6674,0.6555,0.8476,0.7923,0.7858,0.6555,0.9013,0.9727,131.5,Reach max iteration 50 | best_iter=2
