model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
roberta,sum,fb237_v3_ind_seed7001,50,1.0,16,7001,0.6578,0.6522,0.8674,0.7747,0.7679,0.6522,0.8638,0.9542,243.3,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,50,1.0,16,7005,0.6357,0.6089,0.8375,0.7519,0.7291,0.6089,0.8211,0.9209,236.4,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,50,1.0,16,7009,0.6621,0.6601,0.8509,0.7638,0.7686,0.6601,0.8641,0.9378,238.9,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7001,50,1.0,32,7001,0.6647,0.6236,0.8427,0.7771,0.7521,0.6236,0.865,0.9508,234.9,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,50,1.0,32,7005,0.6426,0.6284,0.8136,0.7621,0.7451,0.6284,0.8417,0.9266,232.7,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,50,1.0,32,7009,0.646,0.6452,0.8524,0.756,0.7601,0.6452,0.8514,0.9412,235.6,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7001,50,1.0,48,7001,0.6717,0.6522,0.842,0.7784,0.7693,0.6522,0.8719,0.9542,237.9,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,50,1.0,48,7005,0.6598,0.6479,0.8635,0.7735,0.7582,0.6479,0.8475,0.9484,236.6,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,50,1.0,48,7009,0.6517,0.6567,0.8511,0.764,0.7688,0.6567,0.8583,0.9493,236.5,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7001,50,1.0,64,7001,0.659,0.6465,0.8604,0.7794,0.7703,0.6465,0.8799,0.9611,238.7,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,50,1.0,64,7005,0.646,0.6296,0.8562,0.7637,0.7458,0.6296,0.8417,0.9323,236.3,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,50,1.0,64,7009,0.6667,0.674,0.8553,0.7722,0.7841,0.674,0.8836,0.9539,235.9,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7001,50,1.0,80,7001,0.6775,0.651,0.8089,0.7859,0.7696,0.651,0.8638,0.9531,238.5,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,50,1.0,80,7005,0.6529,0.6399,0.8367,0.7693,0.7499,0.6399,0.8291,0.9278,236.9,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,50,1.0,80,7009,0.6713,0.6578,0.8236,0.7781,0.7742,0.6578,0.8721,0.9643,238.6,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7001,50,1.0,96,7001,0.6728,0.6602,0.8362,0.7819,0.7785,0.6602,0.881,0.9577,234.8,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,50,1.0,96,7005,0.6564,0.6548,0.8167,0.7688,0.7607,0.6548,0.8463,0.93,236.5,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,50,1.0,96,7009,0.6759,0.6705,0.8507,0.7818,0.7796,0.6705,0.8756,0.9539,235.1,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7001,50,5.0,16,7001,0.6751,0.6659,0.8555,0.7838,0.7766,0.6659,0.8673,0.9554,239.0,Reach max iteration 50 | best_iter=2
