model,aggregation,version,k,lambda,bias,n_seeds,valid_mrr_mean,valid_mrr_std,test_mrr_mean,test_mrr_std,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,hits_1_mean,hits_1_std,hits_3_mean,hits_3_std,hits_10_mean,hits_10_std,train_acc_mean,train_time_mean
roberta,sum,fb237_v3_ind,200,100,64,3,0.824667,0.004571,0.8103,0.006684,0.725067,0.00095,0.703533,0.007335,0.703533,0.007335,0.904733,0.011037,0.9732,0.00889,0.838833,744.6
roberta,sum,fb237_v3_ind,200,100,48,3,0.8242,0.003894,0.808567,0.006322,0.725833,0.002444,0.6993,0.004084,0.6993,0.004084,0.9082,0.015871,0.972467,0.009352,0.8402,731.966667
roberta,sum,fb237_v3_ind,125,100,96,3,0.823133,0.004188,0.810533,0.007276,0.723133,0.001343,0.703167,0.002248,0.703167,0.002248,0.905867,0.017381,0.974367,0.008946,0.8446,487.9
roberta,sum,fb237_v3_ind,200,100,80,3,0.8231,0.003205,0.811133,0.006034,0.722767,0.002196,0.7047,0.006616,0.7047,0.006616,0.910433,0.012703,0.974333,0.007016,0.8388,747.5
roberta,sum,fb237_v3_ind,100,100,64,3,0.8229,0.001513,0.808167,0.00741,0.724333,0.006886,0.698567,0.011082,0.698567,0.011082,0.9051,0.009869,0.972067,0.006941,0.8408,402.2
roberta,sum,fb237_v3_ind,150,100,48,3,0.822833,0.00204,0.808533,0.007174,0.723533,0.004842,0.7005,0.008018,0.7005,0.008018,0.9097,0.013372,0.973967,0.007617,0.8349,564
roberta,sum,fb237_v3_ind,200,100,96,3,0.822633,0.004611,0.807433,0.009993,0.723933,0.00185,0.699333,0.009052,0.699333,0.009052,0.903967,0.016479,0.9759,0.009796,0.844533,746.5
roberta,sum,fb237_v3_ind,100,100,80,3,0.8226,0.003637,0.8076,0.007077,0.725467,0.000473,0.700133,0.008292,0.700133,0.008292,0.9021,0.01354,0.970567,0.006313,0.838533,403.233333
roberta,sum,fb237_v3_ind,175,100,80,3,0.822,0.004139,0.811867,0.006058,0.722033,0.006453,0.706967,0.005101,0.706967,0.005101,0.9055,0.012312,0.975133,0.007672,0.8377,660.633333
roberta,sum,fb237_v3_ind,175,100,96,3,0.821967,0.004835,0.8088,0.010042,0.723167,0.002754,0.6997,0.008202,0.6997,0.008202,0.9059,0.014697,0.972467,0.0092,0.839433,668.833333
roberta,sum,fb237_v3_ind,150,100,32,3,0.8219,0.00365,0.809333,0.008128,0.722,0.000721,0.6997,0.018301,0.6997,0.018301,0.907433,0.016267,0.972033,0.007655,0.839333,551.433333
roberta,sum,fb237_v3_ind,125,100,64,3,0.821867,0.002401,0.811033,0.007703,0.7224,0.004557,0.7058,0.005507,0.7058,0.005507,0.904733,0.016753,0.974,0.01179,0.8455,484.233333
roberta,sum,fb237_v3_ind,125,100,48,3,0.821767,0.002219,0.809,0.0056,0.7216,0.0014,0.701233,0.015796,0.701233,0.015796,0.907433,0.009943,0.975133,0.007459,0.8395,484.933333
roberta,sum,fb237_v3_ind,75,100,48,3,0.821567,0.004562,0.8043,0.009306,0.723567,0.003317,0.693967,0.017951,0.693967,0.017951,0.9021,0.007998,0.974733,0.008716,0.835433,299.266667
roberta,sum,fb237_v3_ind,150,100,96,3,0.821367,0.005795,0.813167,0.008114,0.7193,0.002816,0.709233,0.003467,0.709233,0.003467,0.903967,0.022281,0.9736,0.008057,0.842167,583.766667
roberta,sum,fb237_v3_ind,175,100,32,3,0.8211,0.004564,0.811767,0.00415,0.7239,0.002207,0.705033,0.006558,0.705033,0.006558,0.9055,0.01057,0.9751,0.004804,0.8317,626.333333
roberta,sum,fb237_v3_ind,150,100,80,3,0.821033,0.006207,0.809733,0.008093,0.720067,0.001604,0.700867,0.007485,0.700867,0.007485,0.910467,0.013574,0.9728,0.008073,0.850033,586.233333
roberta,sum,fb237_v3_ind,175,100,48,3,0.821,0.003351,0.8085,0.002179,0.720467,0.004179,0.701633,0.008237,0.701633,0.008237,0.902833,0.009582,0.973967,0.005908,0.832733,633.166667
roberta,sum,fb237_v3_ind,50,100,32,3,0.820933,0.002822,0.807567,0.006028,0.723533,0.001537,0.699333,0.012192,0.699333,0.012192,0.902833,0.004912,0.970533,0.010054,0.827133,220.3
roberta,sum,fb237_v3_ind,50,100,96,3,0.8209,0.004424,0.804967,0.00753,0.721233,0.004262,0.693967,0.011932,0.693967,0.011932,0.9059,0.011022,0.972833,0.007695,0.8417,222.266667
roberta,sum,fb237_v3_ind,50,100,64,3,0.8208,0.006245,0.8036,0.009945,0.723167,0.001582,0.694,0.015704,0.694,0.015704,0.900133,0.006484,0.972067,0.005848,0.843233,222.666667
roberta,sum,fb237_v3_ind,125,100,80,3,0.820767,0.003553,0.8083,0.002951,0.720867,0.004723,0.699333,0.00365,0.699333,0.00365,0.9078,0.013939,0.972833,0.007672,0.8369,486.733333
roberta,sum,fb237_v3_ind,50,100,80,3,0.8204,0.005575,0.8055,0.008289,0.7193,0.004026,0.694733,0.011998,0.694733,0.011998,0.9005,0.013211,0.974733,0.009902,0.855467,223
roberta,sum,fb237_v3_ind,100,100,96,3,0.8203,0.002078,0.806033,0.009248,0.720833,0.005408,0.696267,0.009112,0.696267,0.009112,0.906267,0.02003,0.9744,0.010633,0.856567,403.166667
roberta,sum,fb237_v3_ind,75,100,80,3,0.820233,0.002829,0.809167,0.00781,0.718567,0.003523,0.699733,0.012687,0.699733,0.012687,0.909733,0.015405,0.973967,0.011473,0.848833,302.5
roberta,sum,fb237_v3_ind,150,100,64,3,0.8201,0.000624,0.807533,0.005923,0.718167,0.00717,0.699333,0.005006,0.699333,0.005006,0.902833,0.013715,0.971633,0.008173,0.8443,577.4
roberta,sum,fb237_v3_ind,100,100,48,3,0.820067,0.00485,0.807033,0.003661,0.7197,0.005367,0.6993,0.005437,0.6993,0.005437,0.905867,0.011828,0.972067,0.009234,0.841967,400.166667
roberta,sum,fb237_v3_ind,75,100,96,3,0.82,0.003387,0.808933,0.007709,0.7174,0.001609,0.700467,0.006252,0.700467,0.006252,0.904767,0.016153,0.974767,0.010529,0.8542,301.266667
roberta,sum,fb237_v3_ind,175,100,64,3,0.8194,0.003537,0.808767,0.009281,0.718933,0.006871,0.702,0.008202,0.702,0.008202,0.902067,0.016515,0.9713,0.01035,0.840233,643.033333
roberta,sum,fb237_v3_ind,125,100,32,3,0.819233,0.001504,0.803167,0.009352,0.719667,0.003523,0.6936,0.012701,0.6936,0.012701,0.899,0.026319,0.970567,0.009878,0.828867,479.966667
roberta,sum,fb237_v3_ind,75,100,64,3,0.819133,0.002635,0.808,0.007562,0.717033,0.003201,0.701633,0.009009,0.701633,0.009009,0.9017,0.013524,0.974767,0.0069,0.836767,299.966667
roberta,sum,fb237_v3_ind,150,100,16,3,0.818933,0.001701,0.806433,0.00365,0.718933,0.008174,0.698167,0.009299,0.698167,0.009299,0.900133,0.011442,0.972833,0.005921,0.836733,537.433333
roberta,sum,fb237_v3_ind,200,50,48,3,0.8186,0.006075,0.801067,0.008615,0.714333,0.006439,0.685967,0.008464,0.685967,0.008464,0.904367,0.013636,0.9755,0.009753,0.879433,738.833333
roberta,sum,fb237_v3_ind,75,100,32,3,0.8181,0.002427,0.808333,0.003921,0.716267,0.001976,0.700467,0.007225,0.700467,0.007225,0.905867,0.009582,0.974,0.005782,0.835533,300.7
roberta,sum,fb237_v3_ind,175,50,96,3,0.817967,0.007711,0.7998,0.008607,0.7151,0.009462,0.686733,0.01024,0.686733,0.01024,0.8986,0.019593,0.9713,0.009796,0.880367,669.766667
roberta,sum,fb237_v3_ind,100,100,32,3,0.817933,0.003262,0.808433,0.003137,0.716667,0.004102,0.700867,0.00847,0.700867,0.00847,0.904733,0.009908,0.972067,0.007506,0.842067,400.6
roberta,sum,fb237_v3_ind,50,100,16,3,0.817933,0.003814,0.805167,0.011136,0.719733,0.013941,0.6978,0.01655,0.6978,0.01655,0.900933,0.007617,0.969367,0.010905,0.8239,221.5
roberta,sum,fb237_v3_ind,50,100,48,3,0.817933,0.004501,0.8051,0.007894,0.7174,0.005667,0.695133,0.010243,0.695133,0.010243,0.9032,0.0076,0.972467,0.0046,0.840233,221.766667
roberta,sum,fb237_v3_ind,200,100,16,3,0.8179,0.005444,0.809033,0.003695,0.718933,0.005074,0.703133,0.009721,0.703133,0.009721,0.902067,0.013453,0.968967,0.007061,0.829267,737.933333
roberta,sum,fb237_v3_ind,100,100,16,3,0.8179,0.006657,0.807667,0.003252,0.7178,0.007917,0.702367,0.001986,0.702367,0.001986,0.897867,0.010534,0.972433,0.007526,0.833833,399
roberta,sum,fb237_v3_ind,175,100,16,3,0.817633,0.003902,0.8085,0.00326,0.718167,0.004972,0.7028,0.006238,0.7028,0.006238,0.903567,0.009876,0.9709,0.006355,0.831033,616.066667
roberta,sum,fb237_v3_ind,200,50,80,3,0.8174,0.006713,0.8018,0.003961,0.713967,0.005645,0.688233,0.006621,0.688233,0.006621,0.904,0.013947,0.974767,0.0092,0.883533,746.433333
roberta,sum,fb237_v3_ind,200,100,32,3,0.8173,0.002287,0.8091,0.005495,0.716233,0.007257,0.7024,0.010553,0.7024,0.010553,0.903967,0.010193,0.970933,0.004772,0.820333,743
roberta,sum,fb237_v3_ind,75,100,16,3,0.8172,0.001353,0.806867,0.004788,0.714767,0.009416,0.699333,0.007319,0.699333,0.007319,0.902033,0.017559,0.970533,0.008612,0.834,298.7
roberta,sum,fb237_v3_ind,125,100,16,3,0.817167,0.00421,0.806633,0.007613,0.7174,0.006413,0.697833,0.010386,0.697833,0.010386,0.903967,0.011556,0.9736,0.009796,0.835233,477.133333
roberta,sum,fb237_v3_ind,150,50,80,3,0.8159,0.007491,0.800267,0.008698,0.710533,0.008457,0.686367,0.012816,0.686367,0.012816,0.905133,0.013315,0.9709,0.005803,0.881,587.333333
roberta,sum,fb237_v3_ind,125,50,80,3,0.814967,0.004446,0.798833,0.005773,0.710533,0.004549,0.685567,0.009148,0.685567,0.009148,0.900533,0.010194,0.970567,0.008069,0.8761,487.133333
roberta,sum,fb237_v3_ind,200,50,64,3,0.8141,0.00302,0.803633,0.008549,0.708567,0.002581,0.692833,0.007239,0.692833,0.007239,0.9036,0.012705,0.9694,0.007463,0.8791,746.766667
roberta,sum,fb237_v3_ind,125,50,96,3,0.813967,0.004041,0.796367,0.010624,0.709367,0.008334,0.679433,0.010751,0.679433,0.010751,0.901267,0.0204,0.970533,0.009259,0.887833,485.166667
roberta,sum,fb237_v3_ind,150,50,48,3,0.8139,0.00485,0.8008,0.005951,0.707467,0.003252,0.6867,0.00759,0.6867,0.00759,0.9059,0.007889,0.970567,0.008795,0.870667,568.766667
roberta,sum,fb237_v3_ind,175,50,48,3,0.8134,0.006243,0.803133,0.006258,0.708233,0.010184,0.690167,0.00607,0.690167,0.00607,0.9055,0.014587,0.971667,0.007049,0.8804,649.2
roberta,sum,fb237_v3_ind,200,50,96,3,0.8133,0.001808,0.8008,0.007374,0.7063,0.003568,0.6871,0.011605,0.6871,0.011605,0.904733,0.014465,0.9736,0.008702,0.883433,742.9
roberta,sum,fb237_v3_ind,125,50,64,3,0.813033,0.00281,0.7982,0.006681,0.707033,0.001904,0.681733,0.01041,0.681733,0.01041,0.903233,0.017328,0.9709,0.009183,0.887433,482.233333
roberta,sum,fb237_v3_ind,150,50,96,3,0.813,0.005039,0.7986,0.006315,0.707833,0.009051,0.681733,0.00533,0.681733,0.00533,0.9055,0.015677,0.970167,0.005948,0.881467,597.833333
roberta,sum,fb237_v3_ind,175,50,80,3,0.8127,0.005323,0.799167,0.005179,0.7059,0.004176,0.6821,0.005803,0.6821,0.005803,0.906667,0.014166,0.972833,0.00845,0.8855,662.8
roberta,sum,fb237_v3_ind,175,50,64,3,0.8122,0.003439,0.803767,0.008566,0.705933,0.003356,0.691267,0.007865,0.691267,0.007865,0.907033,0.017334,0.972467,0.008036,0.876967,656.933333
roberta,sum,fb237_v3_ind,150,50,32,3,0.812167,0.005975,0.798933,0.00647,0.7051,0.003483,0.685533,0.011998,0.685533,0.011998,0.904733,0.007006,0.970133,0.007262,0.8804,571.3
roberta,sum,fb237_v3_ind,125,50,48,3,0.811833,0.004315,0.799733,0.00504,0.7059,0.000889,0.686367,0.010508,0.686367,0.010508,0.902433,0.018445,0.970533,0.010054,0.873933,485.6
roberta,sum,fb237_v3_ind,150,50,64,3,0.811733,0.002967,0.794033,0.007012,0.704,0.004597,0.672967,0.013973,0.672967,0.013973,0.906267,0.017076,0.9717,0.004689,0.8867,577.7
roberta,sum,fb237_v3_ind,100,50,96,3,0.8113,0.006327,0.799133,0.009828,0.703633,0.009552,0.684433,0.010783,0.684433,0.010783,0.900133,0.013267,0.968267,0.009315,0.886,399.066667
roberta,sum,fb237_v3_ind,175,50,16,3,0.8111,0.004351,0.798067,0.001692,0.7036,0.006102,0.6848,0.009441,0.6848,0.009441,0.8994,0.011667,0.970167,0.006413,0.881467,651.566667
roberta,sum,fb237_v3_ind,75,50,96,3,0.810933,0.000833,0.796833,0.008292,0.7055,0.006222,0.6806,0.014282,0.6806,0.014282,0.9024,0.013249,0.9713,0.009432,0.867,299.5
roberta,sum,fb237_v3_ind,150,50,16,3,0.8109,0.005444,0.799233,0.003564,0.706667,0.007903,0.6894,0.008702,0.6894,0.008702,0.897867,0.011554,0.969367,0.008752,0.867867,563.466667
roberta,sum,fb237_v3_ind,100,50,80,3,0.810867,0.002285,0.795767,0.002829,0.7032,0.003905,0.678267,0.001922,0.678267,0.001922,0.9055,0.011941,0.970567,0.008795,0.882867,403.766667
roberta,sum,fb237_v3_ind,100,50,64,3,0.8108,0.006829,0.794467,0.009176,0.702467,0.004409,0.676767,0.016089,0.676767,0.016089,0.9017,0.012382,0.970533,0.010446,0.889767,404.533333
roberta,sum,fb237_v3_ind,75,50,64,3,0.810633,0.002902,0.798633,0.006804,0.702433,0.005239,0.684767,0.00617,0.684767,0.00617,0.9036,0.007632,0.9709,0.009183,0.881667,299.666667
roberta,sum,fb237_v3_ind,200,50,16,3,0.810467,0.007298,0.799367,0.008026,0.704033,0.009065,0.686333,0.007941,0.686333,0.007941,0.899,0.013211,0.9705,0.00873,0.880667,739.8
roberta,sum,fb237_v3_ind,50,50,16,3,0.810433,0.009052,0.798167,0.014023,0.708967,0.020163,0.688267,0.015599,0.688267,0.015599,0.895967,0.018033,0.9648,0.003751,0.838,234.9
roberta,sum,fb237_v3_ind,100,50,48,3,0.809967,0.004114,0.796467,0.004771,0.7009,0.000854,0.680933,0.003508,0.680933,0.003508,0.9009,0.015677,0.9709,0.010379,0.8848,398.8
roberta,sum,fb237_v3_ind,75,50,80,3,0.809933,0.004899,0.7949,0.008861,0.7032,0.006702,0.678667,0.011185,0.678667,0.011185,0.898233,0.009322,0.9694,0.00976,0.881267,300.866667
roberta,sum,fb237_v3_ind,50,50,96,3,0.8094,0.004531,0.794233,0.00724,0.704733,0.013508,0.681367,0.014558,0.681367,0.014558,0.8948,0.015004,0.9675,0.010379,0.8722,220.933333
roberta,sum,fb237_v3_ind,75,50,48,3,0.809133,0.003459,0.7972,0.002117,0.698633,0.003208,0.6848,0.012754,0.6848,0.012754,0.898233,0.019736,0.970133,0.010939,0.881867,300.066667
roberta,sum,fb237_v3_ind,100,50,32,3,0.809067,0.003053,0.7938,0.005991,0.7028,0.004747,0.678267,0.01485,0.678267,0.01485,0.899767,0.014541,0.970933,0.011906,0.8786,400.8
