model,aggregation,version,k,lambda,bias,n_seeds,valid_mrr_mean,valid_mrr_std,test_mrr_mean,test_mrr_std,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,hits_1_mean,hits_1_std,hits_3_mean,hits_3_std,hits_10_mean,hits_10_std,train_acc_mean,train_time_mean
qwen,sum,fb237_v2_ind,200,100,80,3,0.816767,0.010265,0.813367,0.006742,0.699833,0.017438,0.695467,0.008156,0.695467,0.008156,0.9212,0.003151,0.980167,0.002285,0.8349,437.866667
qwen,sum,fb237_v2_ind,50,100,96,3,0.809867,0.0133,0.810733,0.00683,0.6856,0.022101,0.691933,0.011801,0.691933,0.011801,0.919033,0.006646,0.975833,0.003547,0.860133,134.166667
qwen,sum,fb237_v2_ind,175,100,64,3,0.8139,0.01528,0.810667,0.001012,0.695533,0.030849,0.689167,0.000503,0.689167,0.000503,0.9198,0.001539,0.977967,0.003557,0.838233,365.7
qwen,sum,fb237_v2_ind,125,100,64,3,0.8129,0.007184,0.809733,0.003881,0.694133,0.013723,0.691267,0.003265,0.691267,0.003265,0.917633,0.007543,0.975133,0.001234,0.838167,274.466667
qwen,sum,fb237_v2_ind,100,100,48,3,0.816033,0.009667,0.8081,0.006702,0.701967,0.017435,0.6863,0.011748,0.6863,0.011748,0.9183,0.007562,0.974433,0.002272,0.836967,230
qwen,sum,fb237_v2_ind,150,100,96,3,0.8172,0.009606,0.8079,0.005076,0.700567,0.016464,0.685533,0.005194,0.685533,0.005194,0.921867,0.0149,0.9773,0.00217,0.844367,317.6
qwen,sum,fb237_v2_ind,125,100,32,3,0.814633,0.017054,0.8077,0.004272,0.6948,0.029326,0.689867,0.003353,0.689867,0.003353,0.9098,0.009737,0.9787,0.001967,0.842333,271.933333
qwen,sum,fb237_v2_ind,125,100,48,3,0.8148,0.013337,0.8075,0.007158,0.697633,0.02701,0.686267,0.006436,0.686267,0.006436,0.9197,0.009875,0.9758,0.005682,0.828733,269.2
qwen,sum,fb237_v2_ind,200,100,64,3,0.812767,0.008712,0.807067,0.003745,0.692733,0.016737,0.684933,0.008256,0.684933,0.008256,0.921167,0.00659,0.9773,0.004161,0.851933,431.866667
qwen,sum,fb237_v2_ind,200,100,96,3,0.8144,0.008577,0.806933,0.000451,0.698433,0.015809,0.684933,0.004136,0.684933,0.004136,0.919067,0.009053,0.974433,0.005701,0.8521,438.266667
qwen,sum,fb237_v2_ind,75,100,64,3,0.8133,0.009541,0.806367,0.008121,0.694833,0.015545,0.6849,0.012922,0.6849,0.012922,0.918367,0.008107,0.975867,0.004496,0.845,181.966667
qwen,sum,fb237_v2_ind,100,100,96,3,0.8125,0.011293,0.806333,0.006819,0.694067,0.022012,0.685533,0.008351,0.685533,0.008351,0.918367,0.008107,0.9723,0.006609,0.8491,229.9
qwen,sum,fb237_v2_ind,150,100,80,3,0.813967,0.012384,0.806133,0.007527,0.6948,0.022758,0.682667,0.011697,0.682667,0.011697,0.920467,0.007508,0.975867,0.004329,0.859833,325.166667
qwen,sum,fb237_v2_ind,125,100,80,3,0.812033,0.01065,0.805867,0.006912,0.689833,0.02175,0.6799,0.00966,0.6799,0.00966,0.924,0.007036,0.9794,0.001249,0.842967,277.233333
