model,aggregation,version,k,lambda,bias,n_seeds,valid_mrr_mean,valid_mrr_std,test_mrr_mean,test_mrr_std,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,hits_1_mean,hits_1_std,hits_3_mean,hits_3_std,hits_10_mean,hits_10_std,train_acc_mean,train_time_mean
qwen,sum,fb237_v3_ind,200,100,96,3,0.8316,0.005302,0.8259,0.002751,0.7297,0.007087,0.720767,0.005896,0.720767,0.005896,0.9231,0.011301,0.981267,0.004648,0.8667,729.9
qwen,sum,fb237_v3_ind,175,100,64,3,0.8299,0.006154,0.825533,0.00533,0.730467,0.006198,0.7219,0.008052,0.7219,0.008052,0.917033,0.009012,0.980467,0.006048,0.844867,659.4
qwen,sum,fb237_v3_ind,75,100,32,3,0.8309,0.004686,0.824167,0.010204,0.731233,0.004646,0.719633,0.019126,0.719633,0.019126,0.920067,0.009281,0.980467,0.006048,0.853267,316.8
qwen,sum,fb237_v3_ind,150,100,32,3,0.829467,0.00509,0.824033,0.003821,0.727767,0.004446,0.7192,0.006502,0.7192,0.006502,0.918533,0.007537,0.979733,0.005445,0.8532,571.966667
qwen,sum,fb237_v3_ind,150,100,64,3,0.833,0.007674,0.823933,0.006728,0.733933,0.009236,0.718833,0.008406,0.718833,0.008406,0.920067,0.010529,0.980867,0.004607,0.857,574.8
qwen,sum,fb237_v3_ind,200,100,64,3,0.836133,0.003955,0.823733,0.009857,0.739267,0.004535,0.719233,0.013578,0.719233,0.013578,0.9174,0.011876,0.9805,0.004979,0.857533,702.3
qwen,sum,fb237_v3_ind,125,100,80,3,0.830933,0.005816,0.8233,0.007333,0.731233,0.00855,0.7177,0.009042,0.7177,0.009042,0.9185,0.01204,0.980467,0.006048,0.8574,490.6
qwen,sum,fb237_v3_ind,175,100,80,3,0.8324,0.007562,0.822933,0.008585,0.731233,0.011511,0.716167,0.013408,0.716167,0.013408,0.9212,0.010903,0.9801,0.005112,0.860767,661.7
qwen,sum,fb237_v3_ind,125,100,48,3,0.8319,0.0061,0.8228,0.008067,0.7312,0.006509,0.7173,0.012338,0.7173,0.012338,0.920033,0.013351,0.978567,0.003262,0.866933,480.266667
qwen,sum,fb237_v3_ind,50,100,64,3,0.829767,0.003753,0.8226,0.006954,0.729267,0.003386,0.718467,0.009603,0.718467,0.009603,0.920067,0.010196,0.9778,0.003672,0.8561,234.466667
qwen,sum,fb237_v3_ind,75,100,48,3,0.8294,0.003148,0.822567,0.00917,0.727367,0.00325,0.7162,0.012811,0.7162,0.012811,0.9216,0.007318,0.979333,0.006979,0.8669,318.833333
qwen,sum,fb237_v3_ind,200,100,32,3,0.8283,0.004939,0.8223,0.007155,0.727,0.00453,0.717333,0.012881,0.717333,0.012881,0.9166,0.005393,0.978167,0.007939,0.848667,686.933333
qwen,sum,fb237_v3_ind,200,100,48,3,0.8317,0.0014,0.8222,0.002307,0.730067,0.003066,0.715,0.00275,0.715,0.00275,0.920467,0.01246,0.981267,0.005623,0.8618,701.8
qwen,sum,fb237_v3_ind,200,100,80,3,0.831867,0.005397,0.822,0.006413,0.730833,0.006852,0.715033,0.00841,0.715033,0.00841,0.9189,0.010224,0.9805,0.005976,0.861433,723.133333
qwen,sum,fb237_v3_ind,100,100,64,3,0.831667,0.003691,0.821567,0.005979,0.733133,0.004124,0.714667,0.006842,0.714667,0.006842,0.920067,0.010189,0.979733,0.006298,0.864433,402.366667
qwen,sum,fb237_v3_ind,100,100,32,3,0.830733,0.004497,0.821567,0.00408,0.7293,0.006421,0.714633,0.00898,0.714633,0.00898,0.918533,0.006917,0.9805,0.004161,0.8571,406.5
qwen,sum,fb237_v3_ind,150,100,96,3,0.8337,0.007337,0.8215,0.010753,0.7343,0.008977,0.715,0.013367,0.715,0.013367,0.920433,0.013608,0.9801,0.00459,0.863033,578.366667
qwen,sum,fb237_v3_ind,125,100,16,3,0.8294,0.004045,0.821133,0.011208,0.730067,0.007015,0.714667,0.019111,0.714667,0.019111,0.9193,0.006324,0.977067,0.006341,0.855267,481.666667
qwen,sum,fb237_v3_ind,50,100,32,3,0.8273,0.004875,0.821133,0.004941,0.725467,0.007015,0.7135,0.006976,0.7135,0.006976,0.9208,0.003905,0.980133,0.004748,0.859233,232.7
qwen,sum,fb237_v3_ind,175,100,48,3,0.831833,0.005564,0.821,0.0051,0.730867,0.008591,0.7131,0.005242,0.7131,0.005242,0.9189,0.006243,0.980867,0.004336,0.8654,650.9
qwen,sum,fb237_v3_ind,100,100,96,3,0.829,0.00291,0.820933,0.008565,0.728133,0.003683,0.713867,0.013959,0.713867,0.013959,0.920067,0.00753,0.980867,0.00435,0.870733,402.9
qwen,sum,fb237_v3_ind,50,100,96,3,0.830667,0.001756,0.8209,0.002107,0.730067,0.001721,0.7146,0.002594,0.7146,0.002594,0.920067,0.009281,0.981233,0.006611,0.874267,234.866667
qwen,sum,fb237_v3_ind,150,100,80,3,0.834033,0.00596,0.8205,0.004592,0.737,0.008602,0.714633,0.007193,0.714633,0.007193,0.9147,0.003835,0.981633,0.005001,0.859033,573.833333
qwen,sum,fb237_v3_ind,100,100,80,3,0.831067,0.00486,0.8204,0.008088,0.7301,0.008323,0.713133,0.012977,0.713133,0.012977,0.915833,0.010601,0.979733,0.002815,0.863233,406.233333
