model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
qwen,sum,fb237_v3_ind_seed7001,50,1.0,16,7001,0.6821,0.6407,0.8646,0.7904,0.7607,0.6407,0.8684,0.9485,253.2,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,50,1.0,16,7005,0.6598,0.6388,0.8835,0.7765,0.7662,0.6388,0.8853,0.9518,238.3,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,50,1.0,16,7009,0.6598,0.6855,0.8767,0.7757,0.7967,0.6855,0.8975,0.9677,238.6,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,50,1.0,32,7001,0.6855,0.6465,0.8281,0.7897,0.7638,0.6465,0.8638,0.9542,236.5,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,50,1.0,32,7005,0.6701,0.6422,0.8822,0.7874,0.7658,0.6422,0.8784,0.9415,238.6,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,50,1.0,32,7009,0.6816,0.6843,0.8667,0.7894,0.79,0.6843,0.879,0.9585,238.1,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,50,1.0,48,7001,0.6671,0.6522,0.877,0.7833,0.7715,0.6522,0.8787,0.9554,234.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,50,1.0,48,7005,0.6712,0.6548,0.8892,0.7907,0.7765,0.6548,0.8899,0.9587,232.5,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,50,1.0,48,7009,0.6724,0.6763,0.8827,0.7866,0.7921,0.6763,0.8952,0.962,232.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,50,1.0,64,7001,0.7133,0.6659,0.8528,0.8097,0.7789,0.6659,0.8707,0.9554,229.2,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7005,50,1.0,64,7005,0.6838,0.6709,0.8627,0.7934,0.783,0.6709,0.8807,0.9518,234.6,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,50,1.0,64,7009,0.6805,0.7062,0.8265,0.7897,0.8121,0.7062,0.909,0.9677,231.1,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,50,1.0,80,7001,0.6821,0.6453,0.8863,0.7933,0.7679,0.6453,0.8696,0.9611,233.5,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,50,1.0,80,7005,0.6621,0.6502,0.8881,0.7783,0.7676,0.6502,0.867,0.9472,234.0,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,50,1.0,80,7009,0.6621,0.6866,0.8863,0.7803,0.7958,0.6866,0.8917,0.9654,230.6,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,50,1.0,96,7001,0.6902,0.659,0.8639,0.7955,0.7792,0.659,0.881,0.9611,230.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,50,1.0,96,7005,0.6735,0.6789,0.8492,0.7872,0.7893,0.6789,0.8819,0.9633,231.1,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,50,1.0,96,7009,0.6862,0.7062,0.8561,0.7921,0.8085,0.7062,0.8952,0.9712,233.8,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,50,5.0,16,7001,0.6925,0.667,0.859,0.7989,0.7821,0.667,0.8856,0.9519,232.4,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,50,5.0,16,7005,0.677,0.6365,0.9294,0.7883,0.762,0.6365,0.8739,0.9564,232.2,Reach max iteration 50 | best_iter=29
qwen,sum,fb237_v3_ind_seed7009,50,5.0,16,7009,0.6724,0.697,0.8446,0.7859,0.8052,0.697,0.8998,0.9712,234.9,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,50,5.0,32,7001,0.6694,0.6522,0.9309,0.7853,0.7734,0.6522,0.8879,0.9588,232.7,Reach max iteration 50 | best_iter=41
qwen,sum,fb237_v3_ind_seed7005,50,5.0,32,7005,0.6793,0.6594,0.8761,0.7949,0.7779,0.6594,0.883,0.9472,233.0,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,50,5.0,32,7009,0.6816,0.6809,0.8997,0.7928,0.7941,0.6809,0.8906,0.9631,232.7,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,50,5.0,48,7001,0.6809,0.6762,0.8721,0.7925,0.7873,0.6762,0.8822,0.96,234.8,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,50,5.0,48,7005,0.693,0.6881,0.8552,0.7999,0.7947,0.6881,0.8853,0.9622,233.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,50,5.0,48,7009,0.6805,0.6947,0.8762,0.7932,0.8041,0.6947,0.9021,0.9677,234.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,50,5.0,64,7001,0.6983,0.6808,0.8605,0.8025,0.7901,0.6808,0.8844,0.96,230.1,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,50,5.0,64,7005,0.6758,0.6594,0.8743,0.7898,0.7746,0.6594,0.8761,0.9472,231.8,Reach max iteration 50 | best_iter=2
