/m/03shp	type	sovereign state
/m/03shp	type	Islamic Republic
/m/03shp	type	country
/m/03shp	type	successor state
/m/0k3p	type	city
/m/0k3p	type	place with town rights and privileges
/m/0k3p	type	big city
/m/0k3p	type	port settlement
/m/0k3p	type	cadastral populated place in the Netherlands
/m/0k3p	type	cycling city
/m/0k3p	type	largest city
/m/0k3p	type	national capital
/m/03rz4	type	ocean
/m/03rz4	type	sea
/m/03rz4	type	geographic region
/m/0fpzwf	type	county seat
/m/0fpzwf	type	city in the United States
/m/0fpzwf	type	big city
/m/05r4w	type	sovereign state
/m/05r4w	type	country
/m/05r4w	type	colonial power
/m/01914	type	city
/m/01914	type	direct-administered municipality
/m/01914	type	national central city
/m/01914	type	global city
/m/01914	type	megacity
/m/01914	type	former national capital
/m/01914	type	metropolis
/m/01914	type	big city
/m/01914	type	national capital
/m/05sb1	type	sovereign state
/m/05sb1	type	country
/m/01s5q	type	manner of death
/m/06q1r	type	constituent country of the United Kingdom
/m/06q1r	type	nation
/m/06q1r	type	country
/m/06mkj	type	sovereign state
/m/06mkj	type	realm
/m/06mkj	type	country
/m/06mkj	type	Mediterranean country
/m/0rtv	type	human settlement
/m/0rtv	type	city
/m/05qjt	type	branch of science
/m/05qjt	type	academic discipline
/m/05qjt	type	exact science
/m/03y82t6	type	human
/m/083p7	type	human
/m/07dvs	type	sovereign state
/m/07dvs	type	landlocked country
/m/07dvs	type	unitary state
/m/07dvs	type	country
/m/01g5v	type	primary color
/m/01g5v	type	HTML4 named color
/m/01g5v	type	spectral color
/m/01g5v	type	web color
/m/07y_7	type	type of musical instrument
/m/02jfc	type	branch of science
/m/02jfc	type	matter
/m/02jfc	type	service type
/m/036b_	type	sovereign state
/m/036b_	type	country
/m/0n00	type	human
/m/06n3y	type	continent
/m/06n3y	type	subcontinent
/m/06n3y	type	statistical territorial entity
/m/06n3y	type	geographic region
/m/0lx2l	type	human
/m/01t_z	type	human
/m/04jpl	type	metropolis
/m/04jpl	type	financial centre
/m/04jpl	type	city
/m/04jpl	type	global city
/m/04jpl	type	megacity
/m/04jpl	type	largest city
/m/04jpl	type	national capital
/m/04jpl	type	geographic location
/m/01cgz	type	type of sport
/m/01cgz	type	spectator sport
/m/02hrh0_	type	county seat
/m/02hrh0_	type	big city
/m/02hrh0_	type	consolidated city-county
/m/050ks	type	U.S. state
/m/0x0w	type	branch of philosophy
/m/0x0w	type	specialty
/m/0x0w	type	field of study
/m/0dhd5	type	administrative territorial entity
/m/0dhd5	type	big city
/m/0dhd5	type	federal capital
/m/03__y	type	sovereign state
/m/03__y	type	constitutional monarchy
/m/03__y	type	country
/m/04hhv	type	sovereign state
/m/04hhv	type	landlocked country
/m/04hhv	type	communist state
/m/04hhv	type	people's republic
/m/04hhv	type	country
/m/04sj3	type	sovereign state
/m/04sj3	type	island country
/m/04sj3	type	country
/m/04sj3	type	unitary state
/m/05fkf	type	U.S. state
